# OBSERVED admin-1 religious composition (percent), used two ways:
#   1. as ground truth wherever it exists (rendered with provenance="observed")
#   2. as the hold-out set for validating the synthesis pipeline
#      (see soulfinder.validate -- the US is masked, re-synthesised, and scored)
# Approximations of publicly reported survey-based state-level estimates
# (Pew Religious Landscape Study style). Prototype quality, NOT authoritative.
iso3,admin1_code,year,christian,muslim,unaffiliated,hindu,buddhist,folk,other,jewish
USA,AL,2014,86.0,0.5,12.0,0.3,0.4,0.2,0.3,0.3
USA,AK,2014,62.0,0.5,31.0,0.5,1.0,0.5,3.5,1.0
USA,AZ,2014,67.0,1.0,27.0,0.7,1.0,0.3,1.5,1.5
USA,AR,2014,79.0,0.5,18.0,0.3,0.5,0.2,1.2,0.3
USA,CA,2014,63.0,1.0,27.0,2.0,2.0,0.5,2.5,2.0
USA,CO,2014,64.0,0.6,29.0,0.7,1.2,0.3,2.2,2.0
USA,CT,2014,70.0,1.0,23.0,1.0,0.7,0.2,1.1,3.0
USA,DE,2014,69.0,1.5,23.0,1.5,0.5,0.2,1.3,3.0
USA,DC,2014,65.0,2.0,24.0,1.0,1.0,0.3,1.7,5.0
USA,FL,2014,70.0,1.0,24.0,0.8,0.5,0.3,0.4,3.0
USA,GA,2014,79.0,1.0,18.0,0.5,0.5,0.2,0.3,1.0
USA,HI,2014,63.0,0.3,26.0,0.5,8.0,0.8,1.4,0.5
USA,ID,2014,67.0,0.5,27.0,0.5,1.0,0.3,3.2,0.5
USA,IL,2014,71.0,2.8,22.0,1.0,0.7,0.2,0.3,2.0
USA,IN,2014,72.0,0.5,26.0,0.4,0.3,0.2,0.3,0.5
USA,IA,2014,77.0,0.4,21.0,0.3,0.4,0.2,0.5,0.3
USA,KS,2014,76.0,0.5,20.0,0.4,0.5,0.2,2.0,0.4
USA,KY,2014,76.0,0.5,22.0,0.3,0.4,0.2,0.4,0.3
USA,LA,2014,84.0,0.5,13.0,0.4,0.8,0.3,0.7,0.4
USA,ME,2014,60.0,0.5,31.0,0.5,1.0,0.3,5.7,1.0
USA,MD,2014,69.0,2.0,23.0,1.0,1.0,0.2,0.9,3.0
USA,MA,2014,58.0,1.0,32.0,1.0,1.0,0.3,2.7,4.0
USA,MI,2014,70.0,2.5,24.0,0.7,0.8,0.2,0.9,1.0
USA,MN,2014,74.0,1.5,20.0,0.6,1.0,0.3,1.9,0.8
USA,MS,2014,88.0,0.3,11.0,0.2,0.2,0.1,0.1,0.2
USA,MO,2014,77.0,0.6,20.0,0.4,0.4,0.2,0.9,0.6
USA,MT,2014,65.0,0.3,30.0,0.3,0.6,0.3,3.2,0.4
USA,NE,2014,78.0,0.5,20.0,0.3,0.3,0.2,0.4,0.4
USA,NV,2014,66.0,0.8,28.0,0.8,1.4,0.3,1.3,1.5
USA,NH,2014,54.0,0.5,36.0,0.6,1.0,0.3,6.6,1.0
USA,NJ,2014,67.0,3.0,18.0,3.0,1.0,0.3,1.8,6.0
USA,NM,2014,74.0,0.4,21.0,0.4,1.0,0.6,1.6,1.0
USA,NY,2014,60.0,2.0,27.0,1.5,1.0,0.3,1.3,7.0
USA,NC,2014,77.0,0.7,20.0,0.6,0.5,0.2,0.2,1.0
USA,ND,2014,77.0,0.6,20.0,0.3,0.3,0.2,1.4,0.3
USA,OH,2014,73.0,1.0,22.0,0.5,0.5,0.2,1.9,1.0
USA,OK,2014,79.0,0.6,18.0,0.3,0.5,0.5,1.0,0.3
USA,OR,2014,61.0,0.5,31.0,0.5,1.5,0.3,4.3,1.0
USA,PA,2014,73.0,1.0,21.0,0.7,0.6,0.2,1.6,2.0
USA,RI,2014,71.0,1.0,20.0,0.7,1.0,0.3,4.1,2.0
USA,SC,2014,78.0,0.5,19.0,0.4,0.5,0.2,1.0,0.5
USA,SD,2014,78.0,0.4,18.0,0.2,0.3,0.4,2.6,0.2
USA,TN,2014,81.0,1.0,14.0,0.5,0.5,0.2,2.4,0.5
USA,TX,2014,77.0,1.0,18.0,1.0,0.5,0.3,1.3,1.0
USA,UT,2014,87.0,0.3,11.0,0.2,0.5,0.2,0.7,0.2
USA,VT,2014,54.0,0.3,37.0,0.5,1.0,0.3,5.0,2.0
USA,VA,2014,73.0,2.0,20.0,1.5,0.8,0.2,1.6,1.0
USA,WA,2014,61.0,1.0,32.0,0.8,1.2,0.3,2.8,1.0
USA,WV,2014,78.0,0.3,18.0,0.3,0.4,0.2,2.7,0.2
USA,WI,2014,71.0,0.7,25.0,0.4,0.6,0.2,1.7,0.5
USA,WY,2014,71.0,0.3,26.0,0.2,0.4,0.3,1.7,0.2
