# Population in millions. Approximations of UN World Population Prospects style
# figures. `WLD` is the world control total; the build derives the `ROW`
# (rest-of-world) residual from it so that the country rollup reconciles exactly.
iso3,year,population_millions
WLD,2010,6930
WLD,2030,8550
WLD,2050,9735
CHN,2010,1350
CHN,2030,1415
CHN,2050,1310
IND,2010,1230
IND,2030,1500
IND,2050,1640
USA,2010,309
USA,2030,355
USA,2050,380
IDN,2010,242
IDN,2030,300
IDN,2050,322
PAK,2010,179
PAK,2030,250
PAK,2050,338
BRA,2010,195
BRA,2030,224
BRA,2050,229
NGA,2010,159
NGA,2030,263
NGA,2050,401
BGD,2010,152
BGD,2030,186
BGD,2050,202
RUS,2010,143
RUS,2030,140
RUS,2050,132
JPN,2010,128
JPN,2030,120
JPN,2050,108
MEX,2010,114
MEX,2030,140
MEX,2050,155
ETH,2010,87
ETH,2030,140
ETH,2050,191
PHL,2010,93
PHL,2030,125
PHL,2050,148
EGY,2010,82
EGY,2030,118
EGY,2050,153
VNM,2010,88
VNM,2030,104
VNM,2050,110
COD,2010,66
COD,2030,120
COD,2050,194
TUR,2010,73
TUR,2030,89
TUR,2050,96
IRN,2010,74
IRN,2030,88
IRN,2050,93
DEU,2010,82
DEU,2030,82
DEU,2050,79
THA,2010,67
THA,2030,68
THA,2050,62
GBR,2010,63
GBR,2030,71
GBR,2050,75
FRA,2010,63
FRA,2030,68
FRA,2050,71
ZAF,2010,51
ZAF,2030,63
ZAF,2050,73
ITA,2010,60
ITA,2030,59
ITA,2050,54
MMR,2010,50
MMR,2030,57
MMR,2050,58
KOR,2010,49
KOR,2030,52
KOR,2050,47
ESP,2010,46
ESP,2030,48
ESP,2050,46
COL,2010,45
COL,2030,54
COL,2050,56
ARG,2010,41
ARG,2030,49
ARG,2050,55
POL,2010,38
POL,2030,37
POL,2050,33
UKR,2010,46
UKR,2030,39
UKR,2050,33
CAN,2010,34
CAN,2030,42
CAN,2050,47
SAU,2010,27
SAU,2030,39
SAU,2050,45
DZA,2010,36
DZA,2030,48
DZA,2050,57
MAR,2010,32
MAR,2030,40
MAR,2050,43
SDN,2010,35
SDN,2030,57
SDN,2050,81
IRQ,2010,30
IRQ,2030,53
IRQ,2050,80
AFG,2010,29
AFG,2030,48
AFG,2050,70
UZB,2010,28
UZB,2030,38
UZB,2050,43
NPL,2010,27
NPL,2030,32
NPL,2050,34
LKA,2010,20
LKA,2030,22
LKA,2050,21
MYS,2010,28
MYS,2030,37
MYS,2050,42
AUS,2010,22
AUS,2030,29
AUS,2050,34
KEN,2010,41
KEN,2030,66
KEN,2050,92
TZA,2010,45
TZA,2030,83
TZA,2050,129
UGA,2010,33
UGA,2030,60
UGA,2050,93
GHA,2010,25
GHA,2030,37
GHA,2050,50
PER,2010,29
PER,2030,37
PER,2050,40
VEN,2010,29
VEN,2030,33
VEN,2050,33
NLD,2010,17
NLD,2030,18
NLD,2050,18
SWE,2010,9.4
SWE,2030,11
SWE,2050,12
ISR,2010,7.4
ISR,2030,10.5
ISR,2050,13.5
