iso3,m49,name,lat,lon,area_sqdeg,min_lon,min_lat,max_lon,max_lat
TZA,834,"Tanzania",-6.2578,34.7527,76.3079,29.3385,-11.7204,40.3150,-0.9506
CAN,124,"Canada",61.4692,-98.1427,1712.9950,-140.9972,41.6748,-52.6487,83.2338
USA,840,"United States of America",45.7054,-112.5989,1122.2795,-171.7919,18.9166,-66.9661,71.3572
UZB,860,"Uzbekistan",41.7487,63.2028,49.9553,55.9284,37.1455,73.0537,45.5863
IDN,360,"Indonesia",-2.2219,117.4252,148.1559,95.2948,-10.3596,141.0332,5.4794
ARG,32,"Argentina",-35.4465,-65.1752,278.9001,-73.4137,-55.2496,-53.6279,-21.8317
CHL,152,"Chile",-39.0488,-71.5206,86.5201,-75.6458,-55.6118,-66.9589,-17.5800
COD,180,"Dem. Rep. Congo",-2.8500,23.5829,189.5158,12.1807,-13.2572,31.1745,5.2560
KEN,404,"Kenya",0.5962,37.7912,48.0392,33.8925,-4.6760,41.8558,5.5065
SDN,729,"Sudan",15.9909,29.8628,156.4488,21.9368,8.2298,38.4106,22.0005
RUS,643,"Russia",58.1150,172.5741,1597.6140,-180.0000,41.1518,179.9928,81.2502
ZAF,710,"South Africa",-28.9621,25.1176,115.2811,16.3460,-34.8187,32.8305,-22.0907
MEX,484,"Mexico",23.9353,-102.5760,175.2096,-117.1290,14.5397,-86.8131,32.7211
BRA,76,"Brazil",-10.8068,-53.0543,710.1700,-73.9861,-33.7677,-34.7313,5.2441
PER,604,"Peru",-9.1919,-74.3919,108.0603,-81.4094,-18.3485,-68.6653,-0.0570
COL,170,"Colombia",3.9267,-73.0778,93.9522,-78.9902,-4.2985,-66.8761,12.4375
VEN,862,"Venezuela",7.1623,-66.1642,74.4373,-73.3057,0.7250,-59.7588,12.1616
FRA,250,"France",42.4624,-2.8748,72.6199,-54.5243,2.0536,9.5599,51.1480
ECU,218,"Ecuador",-1.4550,-78.3843,20.3825,-80.9666,-4.9586,-75.2354,1.3817
NGA,566,"Nigeria",9.5480,7.9952,74.5899,2.6910,4.2404,14.5783,13.8660
GHA,288,"Ghana",7.9291,-1.2369,19.9718,-3.2454,4.7110,1.0602,11.0987
COG,178,"Congo",-0.8377,15.1345,27.6220,11.0935,-5.0382,18.4520,3.7276
AGO,24,"Angola",-12.2456,17.4703,103.5958,11.6407,-17.9304,24.0788,-4.4373
ISR,376,"Israel",31.4862,35.0045,2.1859,34.2669,29.5019,35.8366,33.2780
DZA,12,"Algeria",28.1852,2.5980,213.6059,-8.6851,19.0571,12.0007,37.1184
IRQ,368,"Iraq",33.0365,43.7569,42.2318,38.7922,29.0990,48.5663,37.3858
THA,764,"Thailand",15.0167,101.0058,42.9413,97.3756,5.6910,105.5873,20.4179
MMR,104,"Myanmar",21.0172,96.5059,59.1469,92.3031,9.9325,101.1808,28.3357
VNM,704,"Vietnam",16.6582,106.2858,28.5544,102.1708,8.6005,109.3349,23.3528
KOR,410,"South Korea",36.4280,127.8215,9.9576,126.1183,34.3900,129.4699,38.6129
IND,356,"India",22.9249,79.5934,277.9222,68.1757,7.9658,97.4008,35.4935
BGD,50,"Bangladesh",23.8398,90.2675,11.8572,88.0839,20.6701,92.6739,26.4468
NPL,524,"Nepal",28.2394,84.0127,13.8589,80.0882,26.3977,88.1739,30.4226
PAK,586,"Pakistan",29.9736,69.4140,81.8587,60.8748,23.6913,77.8382,37.1336
AFG,4,"Afghanistan",33.8564,66.0868,63.5927,60.5292,29.3191,75.1598,38.4860
IRN,364,"Iran",32.5189,54.2856,155.5280,44.1094,25.0775,63.3156,39.7131
SWE,752,"Sweden",62.8117,16.5964,79.4411,11.0287,55.3625,23.9024,69.1061
UKR,804,"Ukraine",49.1487,31.2296,70.5925,22.0844,45.2934,40.0810,52.3345
POL,616,"Poland",52.1484,19.3113,40.7578,14.0743,49.0272,24.0284,54.8513
DEU,276,"Germany",51.1338,10.2885,45.9194,5.9887,47.3025,15.0176,54.9833
TUR,792,"Turkey",39.0684,35.1168,83.1521,26.0445,35.8219,44.7934,42.1419
NLD,528,"Netherlands",52.2982,5.5116,5.2636,3.3138,50.8044,7.0903,53.5108
ESP,724,"Spain",40.3489,-3.6169,53.2665,-9.3943,35.9471,3.0402,43.7481
AUS,36,"Australia",-25.7307,134.5026,695.5401,113.3381,-43.6353,153.5685,-10.6676
LKA,144,"Sri Lanka",7.7008,80.6674,5.3576,79.6958,5.9685,81.7874,9.8242
CHN,156,"China",36.5550,103.8833,954.6232,73.6765,18.1973,135.0248,53.4583
ITA,380,"Italy",42.7512,12.1410,34.6815,6.7483,36.6208,18.4808,47.1146
GBR,826,"United Kingdom",53.9150,-2.8536,34.2048,-7.5727,49.9598,1.6830,58.6342
PHL,608,"Philippines",11.7647,122.9021,24.2776,117.1758,5.5809,126.5359,18.5053
MYS,458,"Malaysia",3.7256,109.6978,27.5456,100.0864,0.7724,119.1810,6.9282
JPN,392,"Japan",37.6641,138.0659,41.4030,129.4087,31.0303,145.5441,45.5507
SAU,682,"Saudi Arabia",24.1230,44.5162,170.8695,34.6305,16.3473,55.6656,32.1609
MAR,504,"Morocco",29.8856,-8.4206,55.3873,-17.0192,21.4199,-1.1250,35.7593
EGY,818,"Egypt",26.5069,29.8448,90.3871,24.7016,22.0005,36.8662,31.5854
ETH,231,"Ethiopia",8.6543,39.5510,93.1250,32.9529,3.4212,47.7887,14.9594
UGA,800,"Uganda",1.2955,32.3578,19.9758,29.5797,-1.4432,35.0374,4.2506
