geo_id,name,lat,lon,area_sqdeg,min_lon,min_lat,max_lon,max_lat
01,"Alabama",32.7887,-86.8285,12.8976,-88.4746,30.2225,-84.8925,35.0083
02,"Alaska",64.2018,-152.2199,282.9170,-179.1366,51.2291,179.7749,71.3526
04,"Arizona",34.2928,-111.6648,28.9277,-114.8128,31.3324,-109.0448,37.0039
08,"Colorado",38.9982,-105.5481,28.0361,-109.0592,36.9928,-102.0421,41.0020
12,"Florida",28.6203,-82.4973,13.9925,-87.6347,24.5149,-80.0326,31.0008
13,"Georgia",32.6488,-83.4461,14.6695,-85.6067,30.3591,-80.8438,35.0006
18,"Indiana",39.9085,-86.2758,9.8745,-88.0977,37.7719,-84.7848,41.7605
20,"Kansas",38.4844,-98.3802,22.0053,-102.0529,36.9928,-94.5908,40.0029
23,"Maine",45.3598,-69.2236,9.8443,-71.0845,43.0594,-66.9819,47.4595
25,"Massachusetts",42.2523,-71.7964,2.3229,-73.5072,41.2391,-69.9287,42.8868
27,"Minnesota",46.3160,-94.3091,25.5452,-97.2397,43.4993,-89.4904,49.3847
34,"New Jersey",40.1833,-74.6615,2.1313,-75.5603,38.9282,-73.8949,41.3576
37,"North Carolina",35.5395,-79.3574,12.8469,-84.3218,33.8512,-75.4598,36.5881
38,"North Dakota",47.4463,-100.4695,21.8408,-104.0485,45.9347,-96.5577,49.0007
40,"Oklahoma",35.5832,-97.5080,18.0012,-103.0041,33.6166,-94.4328,37.0022
42,"Pennsylvania",40.8736,-77.8005,12.5379,-80.5207,39.7203,-74.6953,42.2700
46,"South Dakota",44.4359,-100.2312,22.5740,-104.0593,42.4847,-96.4356,45.9450
48,"Texas",31.4825,-99.3490,65.3639,-106.6472,25.8404,-93.5176,36.5005
56,"Wyoming",42.9992,-107.5514,27.9751,-111.0584,40.9951,-104.0521,45.0061
09,"Connecticut",41.6202,-72.7263,1.3967,-73.7262,40.9848,-71.7880,42.0509
29,"Missouri",38.3672,-92.4772,18.6176,-95.7680,35.9954,-89.0991,40.6137
54,"West Virginia",38.6414,-80.6151,6.4874,-82.6384,37.2015,-77.7211,40.6386
17,"Illinois",40.0651,-89.1986,15.4047,-91.5147,36.9704,-87.4947,42.5088
35,"New Mexico",34.4211,-106.1082,30.8925,-109.0484,31.3324,-103.0005,37.0005
05,"Arkansas",34.8998,-92.4395,13.5811,-94.6195,33.0041,-89.6555,36.4997
06,"California",37.2461,-119.6115,41.6717,-124.4106,32.5342,-114.1345,42.0097
10,"Delaware",38.9925,-75.5014,0.5480,-75.7900,38.4514,-75.0506,39.8388
11,"District of Columbia",38.9037,-77.0153,0.0179,-77.1181,38.7916,-76.9099,38.9944
15,"Hawaii",20.2531,-156.3522,1.4434,-160.2497,18.9173,-154.8083,22.2324
19,"Iowa",42.0743,-93.4998,15.8555,-96.6331,40.3783,-90.1400,43.5001
21,"Kentucky",37.5267,-85.2909,10.6672,-89.5729,36.4971,-81.9672,39.1464
24,"Maryland",39.0311,-76.7669,2.8052,-79.4870,37.9171,-75.0506,39.7228
26,"Michigan",44.3514,-85.4358,17.0771,-90.4164,41.6961,-82.4159,48.1906
28,"Mississippi",32.7493,-89.6647,11.8939,-91.6439,30.1804,-88.0977,34.9954
30,"Montana",47.0333,-109.6449,45.0727,-116.0511,44.3583,-104.0414,49.0015
33,"New Hampshire",43.6853,-71.5777,2.6838,-72.5561,42.6969,-70.7040,45.3059
36,"New York",42.9395,-75.5029,14.0265,-79.7634,40.5020,-71.8562,45.0155
39,"Ohio",40.2932,-82.7902,11.3384,-84.8207,38.4050,-80.5207,41.9779
41,"Oregon",43.9363,-120.5559,28.1803,-124.5542,41.9916,-116.4639,46.2680
47,"Tennessee",35.8429,-86.3439,10.8900,-90.3087,34.9826,-81.6478,36.6783
49,"Utah",39.3235,-111.6782,22.9741,-114.0519,36.9979,-109.0412,42.0019
51,"Virginia",37.5153,-78.8084,10.7076,-83.6757,36.5409,-75.2409,39.4660
53,"Washington",47.3819,-120.4507,20.9369,-124.7336,45.5438,-116.9162,49.0024
55,"Wisconsin",44.6389,-90.0110,16.5021,-92.8894,42.4916,-86.8235,47.0773
60,"American Samoa",-14.2754,-170.4076,0.0187,-170.8453,-14.3739,-169.4239,-14.1574
66,"Guam",13.4437,144.7745,0.0481,144.6213,13.2458,144.9587,13.6521
69,"Commonwealth of the Northern Mariana Islands",15.6792,145.6207,0.0403,145.1202,14.1108,146.0822,18.8125
31,"Nebraska",41.5269,-99.8103,21.6174,-104.0521,40.0003,-95.3086,43.0010
45,"South Carolina",33.9074,-80.8957,7.8621,-83.3491,32.0343,-78.5394,35.2154
72,"Puerto Rico",18.2228,-66.4598,0.7744,-67.9402,17.9122,-65.2231,18.5161
78,"United States Virgin Islands",18.0149,-64.8172,0.0374,-65.0832,17.6794,-64.5771,18.3847
16,"Idaho",44.3886,-114.6593,24.4614,-117.2428,41.9882,-111.0441,49.0007
32,"Nevada",39.3555,-116.6552,29.9390,-120.0065,35.0015,-114.0411,42.0019
50,"Vermont",44.0746,-72.6633,2.7979,-73.4390,42.7270,-71.4936,45.0155
22,"Louisiana",31.0482,-91.9730,11.6178,-94.0416,28.9296,-88.8156,33.0196
44,"Rhode Island",41.6758,-71.5524,0.3086,-71.8598,41.1515,-71.1204,42.0191
