# Regional population in millions at historical knot years.
# Approximations following the McEvedy & Jones / HYDE tradition. These carry
# large uncertainty -- estimates of world population at year 0 range from about
# 170M to 400M -- and are here to give the composition shares something to
# weight, not to be quoted.
region,year,population_millions
EUR,0,33
EUR,100,36
EUR,200,38
EUR,300,36
EUR,400,34
EUR,500,32
EUR,600,31
EUR,700,32
EUR,800,34
EUR,900,37
EUR,1000,40
EUR,1200,58
EUR,1400,52
EUR,1500,67
EUR,1600,78
EUR,1700,90
EUR,1800,146
EUR,1900,390
EUR,1950,549
EUR,2000,727
EUR,2010,742
MENA,0,28
MENA,100,30
MENA,200,30
MENA,300,28
MENA,400,27
MENA,500,26
MENA,600,25
MENA,700,26
MENA,800,27
MENA,900,27
MENA,1000,28
MENA,1200,27
MENA,1400,22
MENA,1500,24
MENA,1600,26
MENA,1700,27
MENA,1800,30
MENA,1900,45
MENA,1950,92
MENA,2000,270
MENA,2010,340
SSA,0,14
SSA,100,16
SSA,200,17
SSA,300,18
SSA,400,19
SSA,500,20
SSA,600,21
SSA,700,22
SSA,800,24
SSA,900,26
SSA,1000,28
SSA,1200,33
SSA,1400,38
SSA,1500,42
SSA,1600,48
SSA,1700,52
SSA,1800,60
SSA,1900,95
SSA,1950,180
SSA,2000,670
SSA,2010,870
SAS,0,55
SAS,100,58
SAS,200,60
SAS,300,58
SAS,400,57
SAS,500,56
SAS,600,57
SAS,700,59
SAS,800,62
SAS,900,65
SAS,1000,70
SAS,1200,82
SAS,1400,92
SAS,1500,105
SAS,1600,125
SAS,1700,145
SAS,1800,190
SAS,1900,290
SAS,1950,470
SAS,2000,1400
SAS,2010,1650
EAS,0,62
EAS,100,63
EAS,200,60
EAS,300,50
EAS,400,52
EAS,500,55
EAS,600,58
EAS,700,65
EAS,800,72
EAS,900,68
EAS,1000,78
EAS,1200,118
EAS,1400,95
EAS,1500,115
EAS,1600,155
EAS,1700,165
EAS,1800,340
EAS,1900,500
EAS,1950,700
EAS,2000,1480
EAS,2010,1570
SEA,0,10
SEA,100,11
SEA,200,11
SEA,300,11
SEA,400,12
SEA,500,12
SEA,600,13
SEA,700,14
SEA,800,15
SEA,900,16
SEA,1000,17
SEA,1200,20
SEA,1400,22
SEA,1500,25
SEA,1600,28
SEA,1700,32
SEA,1800,42
SEA,1900,85
SEA,1950,178
SEA,2000,525
SEA,2010,610
AMR,0,12
AMR,100,13
AMR,200,14
AMR,300,14
AMR,400,15
AMR,500,16
AMR,600,17
AMR,700,18
AMR,800,19
AMR,900,20
AMR,1000,22
AMR,1200,26
AMR,1400,32
AMR,1500,38
AMR,1600,12
AMR,1700,12
AMR,1800,25
AMR,1900,156
AMR,1950,340
AMR,2000,840
AMR,2010,960
OCE,0,1.2
OCE,100,1.2
OCE,200,1.3
OCE,300,1.3
OCE,400,1.3
OCE,500,1.3
OCE,600,1.4
OCE,700,1.4
OCE,800,1.5
OCE,900,1.5
OCE,1000,1.6
OCE,1200,1.7
OCE,1400,1.8
OCE,1500,2
OCE,1600,2
OCE,1700,2
OCE,1800,2
OCE,1900,6
OCE,1950,13
OCE,2000,31
OCE,2010,37
