# Regional religious composition (percent) at historical knot years.
#
# PROTOTYPE SEED DATA, and by far the least certain table in this repository.
# Pre-modern religious demography is reconstructed from fragmentary evidence;
# scholarly estimates for the same region and century routinely differ by tens
# of percentage points. These figures follow the broad contours reported in the
# World Christian Encyclopedia / World Religion Database tradition -- the timing
# of Christianisation, the Islamic expansion after 622, the rise and retreat of
# Buddhism in South Asia -- but the precise numbers are illustrative.
#
# Everything before 1900 is flagged `historical` in the app and should be read
# as "roughly this shape", never as a measurement.
#
# `folk` absorbs every pre-modern ethnic, civic and traditional religion:
# Greco-Roman and Norse polytheism, Chinese folk religion, and the indigenous
# traditions of Africa, the Americas and Oceania. That is a very large amount of
# genuine diversity flattened into one bucket, and it is the single biggest
# simplification in this table.
# The 2010 row is a BRIDGE, not an independent estimate: it is generated to
# equal the modern country rollup for each region. The historical series is
# benchmarked onto it, so if it disagreed with the modern data the whole
# trajectory would be re-levelled by that disagreement -- an authored MENA
# Jewish share 2.2pp too high at 2010 halved the Jewish share in year 0.
# Regenerate with `python -m soulfinder.bridge` after changing country data.
#
# There is deliberately NO 2000 row. An authored 2000 and a derived 2010 sitting
# ten years apart over-specify the last decade: authored SSA folk of 13% in 2000
# against a derived 2.0% in 2010 is a cliff no data supports, and it showed up
# as a 24pp step in Ghana at the handoff. The last authored knot is 1950 and the
# interpolator carries it to the bridge.
region,year,christian,muslim,unaffiliated,hindu,buddhist,folk,other,jewish
EUR,0,0,0,0,0,0,98.8,0,1.2
EUR,100,0.3,0,0,0,0,98.5,0,1.2
EUR,200,2.0,0,0,0,0,96.8,0,1.2
EUR,300,10.0,0,0,0,0,88.8,0,1.2
EUR,400,45.0,0,0,0,0,53.8,0,1.2
EUR,500,65.0,0,0,0,0,33.8,0,1.2
EUR,600,78.0,0,0,0,0,20.8,0,1.2
EUR,700,85.0,1.0,0,0,0,12.8,0,1.2
EUR,800,90.0,2.0,0,0,0,6.8,0,1.2
EUR,900,93.0,2.5,0,0,0,3.3,0,1.2
EUR,1000,95.0,2.5,0,0,0,1.3,0,1.2
EUR,1200,96.5,2.0,0,0,0,0.3,0,1.2
EUR,1400,97.5,1.5,0,0,0,0.1,0,0.9
EUR,1500,97.8,1.4,0,0,0,0.1,0,0.7
EUR,1600,97.9,1.3,0,0,0,0,0,0.8
EUR,1700,97.8,1.2,0,0,0,0,0,1.0
EUR,1800,97.5,1.3,0.2,0,0,0,0,1.0
EUR,1900,95.0,2.0,1.5,0,0,0,0.1,1.4
EUR,1950,88.0,2.5,8.5,0,0,0,0.5,0.5
EUR,2010,73.37,5.64,19.91,0.22,0.32,0.05,0.25,0.25
MENA,0,0,0,0,0,0,90.0,0,10.0
MENA,100,2.0,0,0,0,0,88.0,0,10.0
MENA,200,8.0,0,0,0,0,82.0,0,10.0
MENA,300,22.0,0,0,0,0,68.0,0,10.0
MENA,400,45.0,0,0,0,0,45.0,0,10.0
MENA,500,62.0,0,0,0,0,28.0,0,10.0
MENA,600,70.0,0,0,0,0,21.0,0,9.0
MENA,700,45.0,40.0,0,0,0,8.0,0,7.0
MENA,800,30.0,62.0,0,0,0,3.0,0,5.0
MENA,900,20.0,75.0,0,0,0,1.0,0,4.0
MENA,1000,13.0,83.0,0,0,0,0.5,0,3.5
MENA,1200,9.0,88.0,0,0,0,0,0,3.0
MENA,1400,7.0,90.5,0,0,0,0,0,2.5
MENA,1500,6.5,91.5,0,0,0,0,0,2.0
MENA,1600,6.0,92.0,0,0,0,0,0,2.0
MENA,1700,6.0,92.0,0,0,0,0,0,2.0
MENA,1800,6.0,92.0,0,0,0,0,0,2.0
MENA,1900,6.5,91.0,0,0,0,0,0,2.5
MENA,1950,5.0,92.5,0,0,0,0,0,2.5
MENA,2010,2.11,95.26,0.54,0.12,0.07,0.28,0.26,1.37
SSA,0,0,0,0,0,0,100,0,0
SSA,100,0,0,0,0,0,100,0,0
SSA,200,0,0,0,0,0,100,0,0
SSA,300,0.5,0,0,0,0,99.5,0,0
SSA,400,1.5,0,0,0,0,98.5,0,0
SSA,500,2.5,0,0,0,0,97.5,0,0
SSA,600,3.0,0,0,0,0,97.0,0,0
SSA,700,3.0,0.5,0,0,0,96.5,0,0
SSA,800,3.0,1.5,0,0,0,95.5,0,0
SSA,900,3.0,3.0,0,0,0,94.0,0,0
SSA,1000,3.0,5.0,0,0,0,92.0,0,0
SSA,1200,3.0,10.0,0,0,0,87.0,0,0
SSA,1400,3.0,15.0,0,0,0,82.0,0,0
SSA,1500,3.5,17.0,0,0,0,79.5,0,0
SSA,1600,4.0,19.0,0,0,0,77.0,0,0
SSA,1700,4.0,21.0,0,0,0,75.0,0,0
SSA,1800,4.0,23.0,0,0,0,73.0,0,0
SSA,1900,9.0,28.0,0,0,0,63.0,0,0
SSA,1950,34.0,32.0,0,0,0,34.0,0,0
SSA,2010,68.41,27.00,2.07,0.16,0.05,2.04,0.21,0.07
SAS,0,0,0,0,71.0,22.0,7.0,0,0
SAS,100,0,0,0,67.0,26.0,7.0,0,0
SAS,200,0,0,0,64.0,29.0,7.0,0,0
SAS,300,0,0,0,63.0,30.0,7.0,0,0
SAS,400,0,0,0,64.0,29.0,7.0,0,0
SAS,500,0,0,0,66.0,27.0,7.0,0,0
SAS,600,0,0,0,69.0,24.0,7.0,0,0
SAS,700,0,0.5,0,73.0,19.0,7.5,0,0
SAS,800,0,2.0,0,76.0,14.0,8.0,0,0
SAS,900,0,4.0,0,78.0,10.0,8.0,0,0
SAS,1000,0,6.0,0,79.0,7.0,8.0,0,0
SAS,1200,0,11.0,0,78.0,3.0,8.0,0,0
SAS,1400,0,15.0,0,76.0,1.5,7.5,0,0
SAS,1500,0.1,17.0,0,75.0,1.2,6.7,0,0
SAS,1600,0.1,19.0,0,74.0,1.0,5.9,0,0
SAS,1700,0.2,20.0,0,73.0,1.2,5.6,0,0
SAS,1800,0.2,21.0,0,72.0,1.5,5.3,0,0
SAS,1900,1.2,25.0,0,68.0,1.8,3.8,0.2,0
SAS,1950,2.0,28.0,0,66.0,1.8,2.0,0.2,0
SAS,2010,2.26,31.62,0.39,62.25,1.68,1.42,0.33,0.05
EAS,0,0,0,0,0,0,97.0,3.0,0
EAS,100,0,0,0,0,0.5,96.5,3.0,0
EAS,200,0,0,0,0,3.0,94.0,3.0,0
EAS,300,0,0,0,0,7.0,90.0,3.0,0
EAS,400,0,0,0,0,12.0,85.0,3.0,0
EAS,500,0,0,0,0,17.0,80.0,3.0,0
EAS,600,0,0,0,0,21.0,76.0,3.0,0
EAS,700,0,0,0,0,24.0,73.0,3.0,0
EAS,800,0,0,0,0,26.0,71.0,3.0,0
