# Approximate national religious composition, percent of population.
# PROTOTYPE SEED DATA -- approximations of publicly reported Pew Research Center
# "Global Religious Landscape" (2010) and "Religious Composition by Country,
# 2010-2050" figures, rounded. These are NOT authoritative. See sources/README.md
# for how to drop in the real distributed files; the loader accepts this schema
# verbatim. Blank cells are read as 0. Rows are renormalised to sum to 1.
iso3,country,year,christian,muslim,unaffiliated,hindu,buddhist,folk,other,jewish
CHN,China,2010,5.1,1.8,52.2,0.0,18.2,21.9,0.7,0.0
CHN,China,2020,6.0,1.9,52.1,0.0,17.8,21.5,0.7,0.0
CHN,China,2030,6.5,1.9,52.2,0.0,17.6,21.1,0.7,0.0
CHN,China,2040,7.3,2.0,52.0,0.0,17.3,20.7,0.7,0.0
CHN,China,2050,8.0,2.0,51.8,0.0,17.0,20.5,0.7,0.0
IND,India,2010,2.6,14.4,0.5,79.5,0.8,1.8,0.4,0.0
IND,India,2020,2.5,15.5,0.5,78.9,0.8,1.6,0.2,0.0
IND,India,2030,2.5,16.4,0.5,78.3,0.8,1.3,0.2,0.0
IND,India,2040,2.5,17.4,0.4,77.5,0.8,1.2,0.2,0.0
IND,India,2050,2.5,18.4,0.4,76.7,0.8,1.0,0.2,0.0
USA,United States,2010,78.3,0.9,16.4,0.6,1.2,0.2,0.6,1.8
USA,United States,2020,75.5,1.1,18.9,0.7,1.2,0.2,0.7,1.7
USA,United States,2030,72.8,1.4,21.1,0.9,1.3,0.3,0.9,1.6
USA,United States,2040,69.6,1.7,23.4,1.0,1.3,0.3,1.2,1.5
USA,United States,2050,66.4,2.1,25.6,1.2,1.4,0.3,1.5,1.4
IDN,Indonesia,2010,9.9,87.2,0.1,1.7,0.7,0.3,0.1,0.0
IDN,Indonesia,2030,9.9,87.3,0.1,1.6,0.7,0.3,0.1,0.0
IDN,Indonesia,2050,9.9,87.4,0.1,1.6,0.7,0.2,0.1,0.0
PAK,Pakistan,2010,1.6,96.4,0.0,1.9,0.0,0.0,0.1,0.0
PAK,Pakistan,2050,1.6,96.5,0.0,1.8,0.0,0.0,0.1,0.0
BRA,Brazil,2010,88.9,0.1,7.9,0.0,0.2,2.7,0.1,0.1
BRA,Brazil,2030,86.6,0.1,9.9,0.0,0.3,2.9,0.1,0.1
BRA,Brazil,2050,84.3,0.1,11.9,0.0,0.3,3.1,0.2,0.1
NGA,Nigeria,2010,49.3,48.8,0.4,0.0,0.0,1.4,0.1,0.0
NGA,Nigeria,2050,49.0,49.5,0.4,0.0,0.0,1.0,0.1,0.0
BGD,Bangladesh,2010,0.3,89.8,0.0,9.1,0.6,0.1,0.1,0.0
BGD,Bangladesh,2050,0.3,91.5,0.0,7.5,0.6,0.1,0.0,0.0
RUS,Russia,2010,73.3,10.0,16.0,0.0,0.5,0.0,0.0,0.2
RUS,Russia,2050,71.0,14.0,14.3,0.0,0.5,0.0,0.0,0.2
JPN,Japan,2010,1.6,0.2,57.0,0.0,36.2,0.4,4.6,0.0
JPN,Japan,2050,1.6,0.3,62.0,0.0,31.5,0.4,4.2,0.0
MEX,Mexico,2010,95.1,0.0,4.7,0.0,0.0,0.0,0.1,0.1
MEX,Mexico,2050,91.0,0.0,8.6,0.0,0.0,0.1,0.2,0.1
